date,product,price,is_anomaly
2024-01-01,fish_sauce,3.28,0
2024-01-02,fish_sauce,3.18,0
2024-01-03,fish_sauce,3.17,0
2024-01-04,fish_sauce,3.17,0
2024-01-05,fish_sauce,4.72,1
2024-01-06,fish_sauce,3.34,0
2024-01-07,fish_sauce,3.13,0
2024-01-08,fish_sauce,3.14,0
2024-01-09,fish_sauce,2.81,0
2024-01-10,fish_sauce,3.38,0
2024-01-11,fish_sauce,3.16,0
2024-01-12,fish_sauce,3.11,0
2024-01-13,fish_sauce,3.14,0
2024-01-14,fish_sauce,3.34,0
2024-01-15,fish_sauce,3.26,0
2024-01-16,fish_sauce,3.16,0
2024-01-17,fish_sauce,3.15,0
2024-01-18,fish_sauce,3.4,0
2024-01-19,fish_sauce,3.09,0
2024-01-20,fish_sauce,3.23,0
2024-01-21,fish_sauce,3.22,0
2024-01-22,fish_sauce,3.33,0
2024-01-23,fish_sauce,3.71,0
2024-01-24,fish_sauce,3.46,0
2024-01-25,fish_sauce,3.31,0
2024-01-26,fish_sauce,3.42,0
2024-01-27,fish_sauce,3.12,0
2024-01-28,fish_sauce,3.03,0
2024-01-29,fish_sauce,3.07,0
2024-01-30,fish_sauce,3.14,0
2024-01-31,fish_sauce,3.38,0
2024-02-01,fish_sauce,3.43,0
2024-02-02,fish_sauce,3.26,0
2024-02-03,fish_sauce,3.2,0
2024-02-04,fish_sauce,3.06,0
2024-02-05,fish_sauce,3.48,0
2024-02-06,fish_sauce,3.49,0
2024-02-07,fish_sauce,3.16,0
2024-02-08,fish_sauce,3.14,0
2024-02-09,fish_sauce,3.3,0
2024-02-10,fish_sauce,3.55,0
2024-02-11,fish_sauce,3.37,0
2024-02-12,fish_sauce,3.26,0
2024-02-13,fish_sauce,3.31,0
2024-02-14,fish_sauce,3.1,0
2024-02-15,fish_sauce,3.49,0
2024-02-16,fish_sauce,3.24,0
2024-02-17,fish_sauce,3.09,0
2024-02-18,fish_sauce,3.3,0
2024-02-19,fish_sauce,3.27,0
2024-02-20,fish_sauce,3.42,0
2024-02-21,fish_sauce,3.52,0
2024-02-22,fish_sauce,3.56,0
2024-02-23,fish_sauce,3.37,0
2024-02-24,fish_sauce,3.3,0
2024-02-25,fish_sauce,3.29,0
2024-02-26,fish_sauce,2.92,0
2024-02-27,fish_sauce,3.41,0
2024-02-28,fish_sauce,3.43,0
2024-02-29,fish_sauce,3.33,0
2024-03-01,fish_sauce,3.21,0
2024-03-02,fish_sauce,3.58,0
2024-03-03,fish_sauce,3.36,0
2024-03-04,fish_sauce,3.09,0
2024-03-05,fish_sauce,3.38,0
2024-03-06,fish_sauce,3.3,0
2024-03-07,fish_sauce,3.44,0
2024-03-08,fish_sauce,3.33,0
2024-03-09,fish_sauce,3.42,0
2024-03-10,fish_sauce,3.37,0
2024-03-11,fish_sauce,3.25,0
2024-03-12,fish_sauce,3.5,0
2024-03-13,fish_sauce,3.6,0
2024-03-14,fish_sauce,3.6,0
2024-03-15,fish_sauce,3.3,0
2024-03-16,fish_sauce,3.53,0
2024-03-17,fish_sauce,4.54,1
2024-03-18,fish_sauce,3.52,0
2024-03-19,fish_sauce,3.21,0
2024-03-20,fish_sauce,3.46,0
2024-03-21,fish_sauce,3.26,0
2024-03-22,fish_sauce,3.33,0
2024-03-23,fish_sauce,3.51,0
2024-03-24,fish_sauce,3.19,0
2024-03-25,fish_sauce,3.13,0
2024-03-26,fish_sauce,3.42,0
2024-03-27,fish_sauce,3.43,0
2024-03-28,fish_sauce,3.51,0
2024-03-29,fish_sauce,3.47,0
2024-03-30,fish_sauce,3.44,0
2024-03-31,fish_sauce,3.28,0
2024-04-01,fish_sauce,3.43,0
2024-04-02,fish_sauce,4.04,1
2024-04-03,fish_sauce,3.28,0
2024-04-04,fish_sauce,3.56,0
2024-04-05,fish_sauce,3.6,0
2024-04-06,fish_sauce,3.27,0
2024-04-07,fish_sauce,3.21,0
2024-04-08,fish_sauce,3.46,0
2024-04-09,fish_sauce,3.54,0
2024-04-10,fish_sauce,3.17,0
2024-04-11,fish_sauce,3.27,0
2024-04-12,fish_sauce,3.53,0
2024-04-13,fish_sauce,3.35,0
2024-04-14,fish_sauce,3.83,0
2024-04-15,fish_sauce,3.4,0
2024-04-16,fish_sauce,4.23,1
2024-04-17,fish_sauce,3.54,0
